subject,pair_id,status,pct_win,pct_loss,pct_draw,most_played,mid_played,least_played,switch_after_win,switch_after_lose,switch_after_draw
sub-15_p1,15,Loser,31.72268907563025,34.03361344537815,34.2436974789916,34.03361344537815,33.403361344537814,32.563025210084035,92.05298013245033,79.01234567901234,67.90123456790124
sub-15_p2,15,Winner,34.03361344537815,31.72268907563025,34.2436974789916,34.66386554621849,33.61344537815126,31.72268907563025,54.32098765432099,64.90066225165563,64.81481481481481
sub-16_p1,16,Loser,32.32104121475054,34.05639913232104,33.622559652928416,36.00867678958785,34.490238611713664,29.50108459869848,69.79865771812081,64.1025641025641,70.3225806451613
sub-16_p2,16,Winner,34.05639913232104,32.32104121475054,33.622559652928416,39.26247288503254,36.8763557483731,23.861171366594363,74.35897435897436,85.90604026845638,78.70967741935485
sub-17_p1,17,Winner,36.38297872340426,32.97872340425532,30.638297872340424,39.57446808510638,32.76595744680851,27.659574468085108,80.58823529411765,84.51612903225806,82.63888888888889
sub-17_p2,17,Loser,32.97872340425532,36.38297872340426,30.638297872340424,34.25531914893617,33.40425531914894,32.340425531914896,67.74193548387096,61.1764705882353,76.38888888888889
sub-18_p1,18,Loser,28.000000000000004,42.526315789473685,29.47368421052631,34.526315789473685,34.10526315789474,31.36842105263158,75.93984962406014,86.63366336633663,85.61151079136691
sub-18_p2,18,Winner,42.526315789473685,28.000000000000004,29.47368421052631,34.73684210526316,34.526315789473685,30.736842105263158,88.11881188118812,54.88721804511278,58.992805755395686
sub-19_p1,19,Loser,31.991525423728813,31.991525423728813,36.016949152542374,33.89830508474576,33.686440677966104,32.41525423728814,90.06622516556291,78.66666666666666,86.47058823529412
sub-19_p2,19,Winner,31.991525423728813,31.991525423728813,36.016949152542374,34.53389830508475,33.686440677966104,31.779661016949152,72.66666666666667,62.913907284768214,68.82352941176471
sub-20_p1,20,Winner,34.12017167381974,32.40343347639485,33.47639484978541,37.1244635193133,36.05150214592275,26.824034334763947,66.0377358490566,75.33333333333333,83.97435897435898
sub-20_p2,20,Loser,32.40343347639485,34.12017167381974,33.47639484978541,34.12017167381974,33.90557939914164,31.97424892703863,72.66666666666667,62.264150943396224,72.43589743589743
sub-21_p1,21,Loser,32.150313152400834,35.07306889352819,32.77661795407098,35.07306889352819,33.40292275574113,31.524008350730686,82.35294117647058,66.07142857142857,63.05732484076433
sub-21_p2,21,Winner,35.07306889352819,32.150313152400834,32.77661795407098,34.44676409185804,33.194154488517746,32.35908141962422,89.88095238095238,89.54248366013073,83.43949044585987
sub-22_p1,22,Loser,28.57142857142857,39.49579831932773,31.932773109243694,40.96638655462185,35.294117647058826,23.739495798319325,72.79411764705883,68.98395721925134,64.47368421052632
sub-22_p2,22,Winner,39.49579831932773,28.57142857142857,31.932773109243694,34.03361344537815,33.61344537815126,32.35294117647059,91.97860962566845,40.44117647058824,46.71052631578947
sub-25_p1,25,Loser,33.542976939203356,34.80083857442348,31.656184486373167,34.80083857442348,33.33333333333333,31.865828092243188,80.0,85.54216867469879,79.33333333333333
sub-25_p2,25,Winner,34.80083857442348,33.542976939203356,31.656184486373167,38.9937106918239,31.027253668763105,29.979035639413,80.72289156626506,78.75,74.0
sub-26_p1,26,Loser,31.140350877192986,35.30701754385965,33.55263157894737,35.526315789473685,32.45614035087719,32.01754385964912,75.35211267605634,57.49999999999999,70.58823529411765
sub-26_p2,26,Winner,35.30701754385965,31.140350877192986,33.55263157894737,35.30701754385965,35.30701754385965,29.385964912280706,73.125,57.04225352112676,76.47058823529412
sub-27_p1,27,Winner,31.446540880503143,30.398322851153043,38.15513626834382,36.058700209643604,33.9622641509434,29.979035639413,71.33333333333334,60.0,64.64088397790056
sub-27_p2,27,Loser,30.398322851153043,31.446540880503143,38.15513626834382,38.57442348008386,32.28511530398323,29.140461215932913,77.93103448275862,75.33333333333333,74.03314917127072
sub-28_p1,28,Winner,32.70042194092827,32.06751054852321,35.232067510548525,35.654008438818565,34.177215189873415,30.168776371308013,68.18181818181817,74.3421052631579,73.65269461077844
sub-28_p2,28,Loser,32.06751054852321,32.70042194092827,35.232067510548525,36.49789029535865,32.278481012658226,31.223628691983123,78.94736842105263,88.31168831168831,95.20958083832335
sub-29_p1,29,Winner,36.82008368200837,32.84518828451883,30.334728033472803,34.72803347280335,34.30962343096235,30.962343096234306,82.95454545454545,90.38461538461539,84.82758620689656
sub-29_p2,29,Loser,32.84518828451883,36.82008368200837,30.334728033472803,34.93723849372385,33.47280334728033,31.589958158995817,77.56410256410257,78.4090909090909,83.44827586206897
sub-30_p1,30,Loser,26.666666666666668,37.708333333333336,35.625,33.958333333333336,33.75,32.29166666666667,79.6875,71.8232044198895,64.11764705882354
sub-30_p2,30,Winner,37.708333333333336,26.666666666666668,35.625,40.0,30.0,30.0,66.29834254143645,57.8125,62.35294117647059
sub-31_p1,31,Winner,34.31578947368421,30.315789473684212,35.368421052631575,34.10526315789474,33.68421052631579,32.21052631578947,69.75308641975309,57.638888888888886,71.42857142857143
sub-31_p2,31,Loser,30.315789473684212,34.31578947368421,35.368421052631575,34.10526315789474,33.68421052631579,32.21052631578947,52.77777777777778,87.65432098765432,80.95238095238095
sub-32_p1,32,Loser,27.42616033755274,37.130801687763714,35.44303797468354,35.654008438818565,33.755274261603375,30.590717299578056,80.76923076923077,73.14285714285714,80.35714285714286
sub-32_p2,32,Winner,37.130801687763714,27.42616033755274,35.44303797468354,38.18565400843882,31.645569620253166,30.168776371308013,73.14285714285714,49.23076923076923,76.78571428571429
sub-33_p1,33,Loser,29.707112970711297,36.19246861924686,34.10041841004184,34.51882845188285,33.26359832635983,32.21757322175732,54.60992907801418,75.14450867052022,52.14723926380368
sub-33_p2,33,Winner,36.19246861924686,29.707112970711297,34.10041841004184,34.72803347280335,34.51882845188285,30.753138075313807,67.05202312138728,72.3404255319149,76.68711656441718
sub-34_p1,34,Loser,33.61522198731501,34.883720930232556,31.501057082452434,38.6892177589852,32.346723044397464,28.964059196617338,59.11949685534591,65.2439024390244,67.78523489932886
sub-34_p2,34,Winner,34.883720930232556,33.61522198731501,31.501057082452434,34.46088794926004,33.40380549682875,32.1353065539112,77.4390243902439,75.47169811320755,76.51006711409396
